@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute x numeric
@attribute y numeric
@attribute istSpeed numeric
@attribute istVelX numeric
@attribute istVelY numeric
@attribute istAcc numeric
@attribute size numeric
@attribute avgSpeed numeric
@attribute avgAccel numeric
@attribute stdSpeed numeric
@attribute stdAccel numeric
@attribute timeBeforeDrawing numeric
@attribute timeDrawing numeric
@attribute timeBeforeEval numeric
@attribute selectedX numeric
@attribute selectedY numeric

@data
5969,'2019/05/07 18:01:31:746',17,238,212,8,-1.131371,7.919596,1.333333,39,7.820513,1.888668,6.866669,1.625511,2718,0,0,0.296,0.072
5970,'2019/05/07 18:01:31:765',17,233,219,12,-6.974858,9.764801,1.333333,40,7.925,1.874785,6.810202,1.606936,2750,0,0,0.296,0.072
5971,'2019/05/07 18:01:31:795',17,225,225,14,-11.2,8.4,0.666667,41,8.073171,1.845318,6.791135,1.597901,2769,0,0,0.296,0.072
5972,'2019/05/07 18:01:31:818',17,216,229,13,-11.87955,5.2798,0.25,42,8.190476,1.807335,6.750748,1.597375,2798,0,0,0.296,0.072
5973,'2019/05/07 18:01:31:850',17,211,229,5,-5,0,2,43,8.116279,1.811815,6.687619,1.578518,2821,0,0,0.296,0.072
5974,'2019/05/07 18:01:31:881',17,209,227,4,-2.828427,-2.828427,0.333333,44,8.022727,1.778213,6.638466,1.575897,2854,0,0,0.296,0.072
5975,'2019/05/07 18:01:31:914',17,207,221,8,-2.529822,-7.589466,1,45,8.022223,1.76092,6.562597,1.5622,2885,0,0,0.296,0.072
5976,'2019/05/07 18:01:31:945',17,207,209,12,0,-12,1,46,8.108696,1.744378,6.515718,1.548813,2917,0,0,0.296,0.072
5977,'2019/05/07 18:01:31:967',17,208,208,2,1.414214,-1.414214,3.333333,47,7.978724,1.778186,6.505815,1.54932,2949,0,0,0.296,0.072
5978,'2019/05/07 18:01:31:998',17,209,208,1,1,0,0.25,48,7.833333,1.746348,6.514578,1.548539,2971,0,0,0.296,0.072
5979,'2019/05/07 18:01:32:032',17,215,212,10,8.320503,5.547002,3,49,7.877551,1.771933,6.453786,1.542754,3002,0,0,0.296,0.072
5980,'2019/05/07 18:01:32:061',17,223,220,16,11.313708,11.313708,1.5,50,8.04,1.766494,6.490055,1.527415,3035,0,0,0.296,0.072
5981,'2019/05/07 18:01:32:084',17,234,229,20,15.479146,12.664756,1.333333,51,8.274509,1.758001,6.639513,1.513279,3065,0,0,0.296,0.072
5982,'2019/05/07 18:01:32:115',17,238,232,7,5.6,4.2,3.25,52,8.25,1.786693,6.576473,1.512588,3087,0,0,0.296,0.072
5983,'2019/05/07 18:01:32:148',17,256,236,22,21.476116,4.77247,3.75,53,8.509434,1.823737,6.78126,1.522055,3119,0,0,0.296,0.072
5984,'2019/05/07 18:01:32:182',17,268,230,18,16.099689,-8.049845,1,54,8.685185,1.808483,6.840016,1.511789,3151,0,0,0.296,0.072
5985,'2019/05/07 18:01:32:219',17,271,227,6,4.242641,-4.242641,3,55,8.636364,1.830147,6.786052,1.506318,3185,0,0,0.296,0.072
